,City,Latitude,Longitude,Date,Temp_Max,Temp_Min,Humidity,Weather,Weather_Score,Temp_Avg
0,Mont Saint Michel,48.6359541,-1.511459954959514,2024-11-16,9.08,6.89,79,clear sky,600,7.984999999999999
1,Mont Saint Michel,48.6359541,-1.511459954959514,2024-11-16,9.29,8.85,75,scattered clouds,400,9.07
2,Mont Saint Michel,48.6359541,-1.511459954959514,2024-11-17,9.51,9.51,75,broken clouds,300,9.51
3,Mont Saint Michel,48.6359541,-1.511459954959514,2024-11-17,10.1,10.1,75,overcast clouds,200,10.1
4,Mont Saint Michel,48.6359541,-1.511459954959514,2024-11-17,10.62,10.62,74,overcast clouds,200,10.62
5,Mont Saint Michel,48.6359541,-1.511459954959514,2024-11-17,10.44,10.44,84,light rain,-10,10.44
6,Mont Saint Michel,48.6359541,-1.511459954959514,2024-11-17,11.54,11.54,68,overcast clouds,200,11.54
7,Mont Saint Michel,48.6359541,-1.511459954959514,2024-11-17,11.58,11.58,69,overcast clouds,200,11.58
8,Mont Saint Michel,48.6359541,-1.511459954959514,2024-11-17,9.23,9.23,76,overcast clouds,200,9.23
9,Mont Saint Michel,48.6359541,-1.511459954959514,2024-11-17,10.67,10.67,68,overcast clouds,200,10.67
10,Mont Saint Michel,48.6359541,-1.511459954959514,2024-11-18,9.95,9.95,78,overcast clouds,200,9.95
11,Mont Saint Michel,48.6359541,-1.511459954959514,2024-11-18,8.17,8.17,89,overcast clouds,200,8.17
12,Mont Saint Michel,48.6359541,-1.511459954959514,2024-11-18,8.76,8.76,90,overcast clouds,200,8.76
13,Mont Saint Michel,48.6359541,-1.511459954959514,2024-11-18,10.21,10.21,87,light rain,-10,10.21
14,Mont Saint Michel,48.6359541,-1.511459954959514,2024-11-18,12.6,12.6,80,overcast clouds,200,12.6
15,Mont Saint Michel,48.6359541,-1.511459954959514,2024-11-18,12.98,12.98,78,light rain,-10,12.98
16,Mont Saint Michel,48.6359541,-1.511459954959514,2024-11-18,11.72,11.72,83,light rain,-10,11.72
17,Mont Saint Michel,48.6359541,-1.511459954959514,2024-11-18,11.01,11.01,91,light rain,-10,11.01
18,Mont Saint Michel,48.6359541,-1.511459954959514,2024-11-19,11.47,11.47,91,light rain,-10,11.47
19,Mont Saint Michel,48.6359541,-1.511459954959514,2024-11-19,11.64,11.64,91,light rain,-10,11.64
20,Mont Saint Michel,48.6359541,-1.511459954959514,2024-11-19,12.67,12.67,84,light rain,-10,12.67
